Area,County,Hourly wage necessary to afford 2 BR FMR,Housing Costs: 2 BR FMR,Housing Costs: Annual income needed to affor 2 BR FMR,Housing Costs: Full-time jobs at minimum wage needed to afford 2 BR FMR,Annual Area Median Income (AMI),Monthly rent affordable at AMI,30% of AMI,Monthly rent affordable at 30% of AMI,Renter households,% of total households,Estimated hourly mean renter wage,Rent affordable at mean renter wage,Full-time jobs at mean renter wage needed to afford 2 BR FMR
Counties,Terry County,14.12,734,29360,1.9,55800,1395,16740,419,1233,30%,15.76,819,0.9
Counties,Throckmorton Countyt,14.12,734,29360,1.9,67100,1678,20130,503,181,27%,,,
Counties,Titus County,14.12,734,29360,1.9,53500,1338,16050,401,3597,33%,12.55,653,1.1
Counties,Tom Green County,18.85,980,39200,2.6,68500,1713,20550,514,15814,37%,15.09,785,1.2
Counties,Travis County,27.58,1434,57360,3.8,98900,2473,29670,742,225010,48%,24.55,1276,1.1
Counties,Trinity County,16.08,836,33440,2.2,50500,1263,15150,379,1364,23%,10.88,566,1.5
Counties,Tyler County,14.12,734,29360,1.9,61400,1535,18420,461,1139,16%,8.32,433,1.7
Counties,Upshur County,16.35,850,34000,2.3,69700,1743,20910,523,2993,21%,12.15,632,1.3
Counties,Upton County,14.12,734,29360,1.9,67200,1680,20160,504,359,27%,36.65,1906,0.4
Counties,Uvalde County,14.12,734,29360,1.9,52000,1300,15600,390,2359,27%,11.46,596,1.2
Counties,Val Verde County,15.31,796,31840,2.1,54000,1350,16200,405,5758,36%,11.79,613,1.3
Counties,Van Zandt County,15.40,801,32040,2.1,64100,1603,19230,481,4434,22%,11.87,617,1.3
Counties,Victoria County,19.87,1033,41320,2.7,74400,1860,22320,558,10908,34%,15.12,786,1.3
Counties,Walker County,18.67,971,38840,2.6,67600,1690,20280,507,10673,49%,11.17,581,1.7
Counties,Waller County,22.62,1176,47040,3.1,79200,1980,23760,594,4804,32%,12.65,658,1.8
Counties,Ward County,16.12,838,33520,2.2,79600,1990,23880,597,1132,28%,28.05,1458,0.6
Counties,Washington County,17.13,891,35640,2.4,72100,1803,21630,541,3267,26%,11.97,622,1.4
Counties,Webb County,17.60,915,36600,2.4,54100,1353,16230,406,28276,38%,10.07,524,1.7
Counties,Wharton County,14.85,772,30880,2.0,64700,1618,19410,485,5021,33%,12.93,672,1.1
Counties,Wheeler County,14.12,734,29360,1.9,59700,1493,17910,448,729,33%,17.59,915,0.8
Counties,Wichita County,16.00,832,33280,2.2,69000,1725,20700,518,19192,40%,13.01,676,1.2
Counties,Wilbarger County,14.12,734,29360,1.9,60300,1508,18090,452,2034,39%,15.92,828,0.9
Counties,Willacy County,14.12,734,29360,1.9,35300,883,10590,265,1704,29%,13.46,700,1.0
Counties,Williamson County,27.58,1434,57360,3.8,98900,2473,29670,742,56952,32%,20.58,1070,1.3
Counties,Wilson County,21.42,1114,44560,3.0,74100,1853,22230,556,2458,16%,12.13,631,1.8
Counties,Winkler County,14.12,734,29360,1.9,71900,1798,21570,539,534,20%,31.13,1619,0.5
Counties,Wise County,20.90,1087,43480,2.9,79700,1993,23910,598,4935,22%,15.06,783,1.4
Counties,Wood County,15.44,803,32120,2.1,61500,1538,18450,461,3267,20%,9.43,490,1.6
Counties,Yoakum County,14.29,743,29720,2.0,79800,1995,23940,599,575,22%,25.24,1312,0.6
Counties,Young County,14.12,734,29360,1.9,62100,1553,18630,466,1786,24%,14.12,734,1.0
Counties,Zapata County,14.12,734,29360,1.9,36300,908,10890,272,1137,25%,15.57,810,0.9
Counties,Zavala County,14.12,734,29360,1.9,35800,895,10740,269,1001,28%,8.78,457,1.6
