CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH),"(percentage) HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",(percentage) HMIS Participation Rate for Year-Round Beds (ES),(percentage) HMIS Participation Rate for Year-Round Beds (TH),(percentage) HMIS Participation Rate for Year-Round Beds (RRH),(percentage) HMIS Participation Rate for Year-Round Beds (PSH)
4.0,99.0,81.0,81.0,87.0,12.0,0.0,10.0,16.0,83.0,0.0,0.0,0.0,69.0,69.0,75.0,0.0,10.0,16.0,71.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,10.0,28.0,87.0,10.0,0.0,0.0,0.0,42.0,42.0,37.0,2.0,5.0,37.0,0.0,0.0,2.0,31.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,81.82,79.31,100.0,10.31,88.1
4.0,18955.0,17773.0,12320.0,14719.0,4111.0,125.0,3363.0,10178.0,8777.0,0.0,784.0,1159.0,14024.0,10151.0,1169.0,0.0,2861.0,8650.0,6069.0,0.0,149.0,369.0,3624.0,2044.0,502.0,1528.0,2583.0,0.0,535.0,790.0,125.0,125.0,0.0,0.0,125.0,0.0,100.0,0.0,6045.0,5942.0,5893.0,1236.0,4372.0,1673.0,0.0,343.0,205.0,22683.0,22466.0,13820.0,1862.0,5934.0,16749.0,0.0,6287.0,493.0,4236.0,2030.0,1988.0,1375.0,260.0,752.0,1278.0,0.0,0.0,23.0,65.0,68.97,49.72,97.49,60.93
4.0,4177.0,3711.0,3246.0,2424.0,1700.0,53.0,492.0,1502.0,2667.0,8.0,587.0,248.0,2230.0,2149.0,82.0,2.0,236.0,815.0,1601.0,8.0,220.0,97.0,1428.0,1066.0,256.0,687.0,1013.0,0.0,345.0,151.0,53.0,31.0,0.0,0.0,53.0,0.0,22.0,0.0,1846.0,1663.0,1618.0,424.0,1236.0,610.0,0.0,416.0,62.0,4901.0,4901.0,4826.0,406.0,1342.0,3559.0,0.0,2728.0,95.0,740.0,939.0,939.0,839.0,0.0,0.0,939.0,0.0,140.0,16.0,77.71,88.66,62.71,87.65,98.47
4.0,3184.0,2902.0,2171.0,2167.0,1017.0,0.0,403.0,1250.0,1914.0,20.0,26.0,20.0,1993.0,1608.0,400.0,147.0,160.0,540.0,1607.0,20.0,0.0,20.0,909.0,563.0,243.0,710.0,307.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.0,529.0,430.0,193.0,516.0,147.0,0.0,99.0,0.0,2496.0,2496.0,2431.0,383.0,1255.0,1241.0,0.0,984.0,14.0,678.0,295.0,295.0,295.0,61.0,229.0,66.0,0.0,0.0,0.0,68.18,74.2,55.36,64.86,97.4
4.0,810.0,689.0,475.0,647.0,163.0,0.0,48.0,328.0,469.0,13.0,38.0,14.0,571.0,376.0,0.0,35.0,33.0,249.0,385.0,13.0,12.0,14.0,118.0,99.0,15.0,79.0,84.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,186.0,159.0,26.0,77.0,109.0,0.0,48.0,0.0,707.0,707.0,348.0,40.0,151.0,556.0,0.0,316.0,9.0,278.0,277.0,277.0,90.0,65.0,247.0,30.0,0.0,0.0,0.0,58.64,58.11,60.74,85.48,49.22
4.0,697.0,579.0,368.0,433.0,264.0,0.0,74.0,292.0,405.0,0.0,59.0,10.0,376.0,167.0,0.0,10.0,38.0,181.0,252.0,0.0,0.0,7.0,203.0,201.0,36.0,111.0,153.0,0.0,59.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,593.0,593.0,58.0,64.0,538.0,0.0,37.0,1.0,2308.0,2308.0,1720.0,369.0,1300.0,1008.0,0.0,318.0,57.0,450.0,9.0,9.0,9.0,3.0,7.0,2.0,0.0,9.0,4.0,52.8,38.57,76.14,98.5,74.52
4.0,562.0,451.0,419.0,245.0,317.0,0.0,53.0,162.0,400.0,0.0,232.0,0.0,203.0,203.0,125.0,0.0,23.0,75.0,170.0,0.0,16.0,0.0,248.0,216.0,30.0,87.0,230.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,378.0,320.0,70.0,203.0,175.0,0.0,161.0,10.0,1662.0,1662.0,1608.0,154.0,582.0,1080.0,0.0,921.0,0.0,183.0,240.0,240.0,0.0,0.0,0.0,240.0,0.0,240.0,0.0,74.56,82.86,68.14,84.66,96.75
4.0,183.0,183.0,183.0,132.0,51.0,0.0,33.0,89.0,94.0,0.0,0.0,6.0,132.0,132.0,140.0,21.0,14.0,41.0,91.0,0.0,0.0,6.0,51.0,51.0,19.0,48.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,5.0,434.0,434.0,418.0,42.0,134.0,300.0,0.0,16.0,7.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,96.31
4.0,931.0,811.0,811.0,839.0,92.0,0.0,91.0,352.0,555.0,24.0,25.0,56.0,759.0,759.0,55.0,0.0,80.0,310.0,505.0,24.0,0.0,29.0,52.0,52.0,11.0,42.0,50.0,0.0,25.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,318.0,318.0,69.0,238.0,80.0,0.0,41.0,0.0,1744.0,1744.0,1744.0,112.0,414.0,1330.0,0.0,975.0,17.0,860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.11,90.46,56.52,100.0,100.0
4.0,693.0,575.0,477.0,483.0,186.0,24.0,144.0,410.0,272.0,11.0,33.0,22.0,419.0,321.0,79.0,0.0,107.0,272.0,202.0,9.0,0.0,9.0,132.0,132.0,37.0,138.0,46.0,2.0,9.0,13.0,24.0,24.0,0.0,0.0,24.0,0.0,24.0,0.0,2101.0,2101.0,2101.0,468.0,1633.0,468.0,0.0,180.0,0.0,1603.0,1603.0,1603.0,199.0,656.0,947.0,0.0,708.0,0.0,657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.83,66.46,70.97,100.0,100.0
4.0,569.0,436.0,367.0,354.0,205.0,10.0,101.0,271.0,293.0,5.0,18.0,26.0,312.0,248.0,63.0,0.0,40.0,118.0,231.0,5.0,0.0,26.0,114.0,109.0,61.0,153.0,52.0,0.0,18.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,683.0,683.0,683.0,166.0,529.0,154.0,0.0,33.0,0.0,693.0,693.0,485.0,65.0,151.0,542.0,0.0,217.0,8.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,70.06,53.17,100.0,69.99
4.0,111.0,99.0,99.0,57.0,54.0,0.0,24.0,80.0,31.0,0.0,0.0,3.0,45.0,45.0,0.0,0.0,5.0,26.0,31.0,0.0,0.0,3.0,54.0,54.0,19.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,5.0,13.0,2.0,0.0,0.0,0.0,189.0,189.0,120.0,19.0,84.0,105.0,0.0,32.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.19,78.95,100.0,100.0,63.49
4.0,303.0,201.0,98.0,149.0,154.0,0.0,30.0,150.0,153.0,0.0,0.0,0.0,110.0,70.0,0.0,10.0,4.0,59.0,90.0,0.0,0.0,0.0,91.0,28.0,26.0,91.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,8.0,8.0,51.0,152.0,5.0,0.0,8.0,0.0,321.0,321.0,273.0,149.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.34,46.98,18.18,5.1,85.05
4.0,290.0,225.0,180.0,259.0,31.0,0.0,31.0,155.0,135.0,0.0,0.0,14.0,221.0,180.0,0.0,40.0,21.0,128.0,131.0,0.0,0.0,14.0,4.0,0.0,10.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,404.0,404.0,126.0,374.0,30.0,0.0,10.0,1.0,357.0,357.0,125.0,25.0,85.0,272.0,0.0,230.0,6.0,131.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,62.07,69.5,0.0,100.0,35.01
5.0,1089.0,863.0,288.0,647.0,442.0,0.0,384.0,417.0,672.0,0.0,48.0,55.0,451.0,260.0,177.0,125.0,287.0,311.0,336.0,0.0,8.0,22.0,412.0,28.0,97.0,106.0,336.0,0.0,40.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,328.0,328.0,151.0,315.0,62.0,0.0,27.0,0.0,851.0,851.0,522.0,169.0,199.0,652.0,0.0,465.0,30.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.45,40.19,6.33,87.0,61.34
5.0,5535.0,5328.0,3177.0,3270.0,2202.0,63.0,497.0,1990.0,3516.0,29.0,264.0,99.0,3088.0,2025.0,190.0,12.0,161.0,595.0,2656.0,19.0,0.0,54.0,2202.0,1114.0,336.0,1395.0,797.0,10.0,226.0,45.0,38.0,38.0,0.0,0.0,63.0,0.0,38.0,0.0,1161.0,1133.0,1160.0,306.0,997.0,164.0,0.0,70.0,47.0,3171.0,3171.0,1962.0,157.0,327.0,2781.0,63.0,1133.0,106.0,2674.0,1449.0,1449.0,527.0,180.0,471.0,976.0,2.0,29.0,28.0,57.4,61.93,50.59,99.91,61.87
5.0,1184.0,1150.0,918.0,790.0,394.0,0.0,119.0,427.0,757.0,0.0,31.0,29.0,756.0,756.0,0.0,2.0,29.0,165.0,625.0,0.0,0.0,20.0,394.0,162.0,90.0,262.0,132.0,0.0,31.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,99.0,18.0,58.0,41.0,0.0,41.0,22.0,698.0,698.0,629.0,75.0,290.0,408.0,0.0,426.0,39.0,644.0,40.0,40.0,40.0,3.0,36.0,4.0,0.0,0.0,4.0,77.53,95.7,41.12,100.0,90.11
5.0,466.0,352.0,77.0,366.0,100.0,0.0,131.0,274.0,192.0,0.0,16.0,0.0,252.0,77.0,164.0,126.0,112.0,186.0,180.0,0.0,16.0,0.0,100.0,0.0,19.0,88.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,187.0,81.0,41.0,176.0,21.0,0.0,13.0,0.0,412.0,412.0,393.0,47.0,134.0,278.0,0.0,199.0,10.0,131.0,27.0,27.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,16.52,21.04,0.0,41.12,95.39
6.0,747.0,670.0,634.0,560.0,187.0,0.0,132.0,356.0,377.0,14.0,47.0,31.0,497.0,461.0,54.0,44.0,91.0,269.0,277.0,14.0,0.0,14.0,173.0,173.0,41.0,87.0,100.0,0.0,47.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,205.0,205.0,45.0,124.0,109.0,0.0,39.0,1.0,1977.0,1963.0,1963.0,223.0,615.0,1362.0,0.0,114.0,19.0,1886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.87,82.32,92.51,87.98,99.29
6.0,1853.0,1590.0,1542.0,1502.0,340.0,11.0,237.0,785.0,1059.0,9.0,131.0,111.0,1299.0,1293.0,395.0,95.0,197.0,668.0,825.0,9.0,19.0,14.0,280.0,238.0,40.0,117.0,223.0,0.0,101.0,97.0,11.0,11.0,0.0,0.0,11.0,0.0,11.0,0.0,1127.0,1026.0,1026.0,193.0,581.0,546.0,0.0,219.0,220.0,5291.0,5226.0,3869.0,572.0,1573.0,3718.0,0.0,1090.0,7.0,3392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.22,86.09,70.0,91.04,73.12
7.0,6687.0,6344.0,5959.0,5110.0,1577.0,0.0,1053.0,3252.0,3416.0,19.0,170.0,604.0,5040.0,4849.0,783.0,0.0,801.0,2598.0,2493.0,19.0,0.0,111.0,1304.0,1110.0,252.0,654.0,923.0,0.0,170.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5972.0,5953.0,5953.0,1836.0,5742.0,230.0,0.0,70.0,23.0,9958.0,9863.0,8535.0,1682.0,5100.0,4858.0,0.0,1589.0,136.0,9657.0,5309.0,5258.0,3983.0,1371.0,4178.0,1131.0,0.0,0.0,0.0,89.11,94.89,70.39,99.68,85.71
8.0,1026.0,955.0,536.0,644.0,382.0,0.0,192.0,446.0,578.0,2.0,51.0,12.0,573.0,311.0,0.0,309.0,88.0,236.0,406.0,2.0,10.0,2.0,382.0,225.0,104.0,210.0,172.0,0.0,41.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,169.0,169.0,35.0,118.0,51.0,0.0,25.0,0.0,670.0,670.0,670.0,64.0,228.0,442.0,0.0,0.0,0.0,666.0,19.0,19.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,52.24,48.29,58.9,100.0,100.0
9.0,921.0,848.0,827.0,534.0,387.0,0.0,80.0,302.0,577.0,42.0,50.0,56.0,461.0,455.0,0.0,136.0,29.0,136.0,366.0,32.0,10.0,32.0,387.0,372.0,51.0,166.0,211.0,10.0,40.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,113.0,113.0,12.0,47.0,66.0,0.0,18.0,2.0,404.0,404.0,390.0,60.0,227.0,177.0,0.0,260.0,0.0,356.0,120.0,120.0,120.0,0.0,0.0,120.0,0.0,0.0,0.0,89.79,85.21,96.12,100.0,96.53
9.0,1106.0,966.0,922.0,800.0,291.0,15.0,162.0,522.0,584.0,0.0,101.0,0.0,660.0,660.0,0.0,0.0,112.0,383.0,417.0,0.0,40.0,0.0,291.0,247.0,50.0,139.0,152.0,0.0,46.0,0.0,15.0,15.0,0.0,0.0,15.0,0.0,15.0,0.0,760.0,735.0,735.0,179.0,662.0,98.0,0.0,72.0,43.0,1499.0,1499.0,1496.0,130.0,476.0,1023.0,0.0,1047.0,0.0,293.0,107.0,107.0,101.0,13.0,42.0,65.0,0.0,0.0,0.0,83.36,82.5,84.88,96.71,99.8
9.0,1899.0,1760.0,1711.0,1443.0,371.0,85.0,131.0,421.0,1447.0,31.0,198.0,38.0,1304.0,1304.0,0.0,2.0,88.0,322.0,1109.0,12.0,55.0,12.0,371.0,322.0,43.0,99.0,253.0,19.0,83.0,26.0,85.0,85.0,0.0,0.0,85.0,0.0,60.0,0.0,583.0,463.0,463.0,184.0,531.0,52.0,0.0,27.0,0.0,1589.0,1589.0,1589.0,86.0,336.0,1253.0,0.0,931.0,0.0,1433.0,40.0,40.0,40.0,0.0,0.0,40.0,0.0,40.0,0.0,90.1,90.37,86.79,79.42,100.0
9.0,616.0,616.0,441.0,284.0,332.0,0.0,82.0,343.0,264.0,9.0,0.0,9.0,284.0,248.0,0.0,27.0,35.0,150.0,125.0,9.0,0.0,9.0,332.0,193.0,47.0,193.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,133.0,127.0,30.0,97.0,36.0,0.0,31.0,0.0,254.0,254.0,254.0,50.0,133.0,121.0,0.0,117.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.59,87.32,58.13,95.49,100.0
9.0,569.0,477.0,477.0,293.0,256.0,20.0,88.0,350.0,207.0,12.0,42.0,80.0,201.0,201.0,0.0,3.0,47.0,194.0,87.0,12.0,0.0,52.0,256.0,256.0,41.0,156.0,100.0,0.0,22.0,28.0,20.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,197.0,197.0,185.0,43.0,176.0,21.0,0.0,0.0,67.0,420.0,420.0,96.0,41.0,144.0,276.0,0.0,315.0,65.0,93.0,109.0,109.0,37.0,44.0,98.0,11.0,0.0,0.0,15.0,83.83,68.6,100.0,93.91,22.86
9.0,649.0,544.0,487.0,455.0,194.0,0.0,69.0,247.0,384.0,18.0,52.0,24.0,407.0,407.0,0.0,133.0,42.0,185.0,252.0,18.0,0.0,18.0,137.0,80.0,27.0,62.0,132.0,0.0,52.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,106.0,106.0,38.0,90.0,16.0,0.0,39.0,2.0,452.0,452.0,452.0,12.0,36.0,416.0,0.0,288.0,0.0,452.0,231.0,231.0,181.0,82.0,147.0,84.0,0.0,0.0,0.0,75.04,89.45,41.24,100.0,100.0
9.0,1986.0,1762.0,1334.0,1273.0,713.0,0.0,262.0,952.0,1034.0,0.0,142.0,63.0,1049.0,970.0,0.0,0.0,170.0,657.0,616.0,0.0,50.0,24.0,713.0,364.0,92.0,295.0,418.0,0.0,92.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.0,833.0,833.0,216.0,733.0,100.0,0.0,115.0,0.0,1599.0,1599.0,705.0,54.0,138.0,1461.0,0.0,772.0,24.0,1395.0,402.0,402.0,402.0,0.0,0.0,402.0,0.0,0.0,0.0,67.17,76.2,51.05,100.0,44.09
9.0,323.0,221.0,221.0,279.0,44.0,0.0,37.0,116.0,189.0,18.0,59.0,18.0,177.0,177.0,108.0,20.0,37.0,116.0,145.0,18.0,15.0,18.0,44.0,44.0,0.0,0.0,44.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,201.0,164.0,27.0,94.0,107.0,0.0,39.0,0.0,1105.0,1105.0,1105.0,72.0,279.0,826.0,0.0,1013.0,0.0,1105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.42,63.44,100.0,81.59,100.0
9.0,228.0,179.0,155.0,127.0,101.0,0.0,52.0,161.0,55.0,12.0,2.0,24.0,84.0,84.0,0.0,0.0,29.0,105.0,10.0,12.0,0.0,12.0,95.0,71.0,23.0,56.0,45.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,165.0,165.0,32.0,127.0,38.0,0.0,18.0,0.0,356.0,356.0,356.0,35.0,120.0,236.0,0.0,124.0,0.0,235.0,55.0,55.0,55.0,16.0,44.0,11.0,0.0,0.0,0.0,67.98,66.14,70.3,100.0,100.0
9.0,1133.0,948.0,649.0,741.0,392.0,0.0,68.0,260.0,839.0,34.0,66.0,64.0,556.0,344.0,0.0,0.0,68.0,260.0,447.0,34.0,22.0,34.0,392.0,305.0,0.0,0.0,392.0,0.0,44.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,301.0,301.0,166.0,185.0,116.0,0.0,80.0,0.0,1086.0,1086.0,568.0,172.0,281.0,805.0,0.0,567.0,0.0,857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.28,46.42,77.81,100.0,52.3
9.0,486.0,431.0,256.0,286.0,200.0,0.0,6.0,107.0,379.0,0.0,40.0,12.0,231.0,176.0,0.0,126.0,3.0,95.0,191.0,0.0,10.0,0.0,200.0,80.0,3.0,12.0,188.0,0.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,142.0,136.0,91.0,102.0,40.0,0.0,32.0,38.0,297.0,297.0,67.0,1.0,3.0,294.0,0.0,203.0,2.0,67.0,14.0,14.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,52.67,61.54,40.0,95.77,22.56
9.0,584.0,572.0,515.0,81.0,482.0,21.0,81.0,296.0,268.0,20.0,165.0,40.0,69.0,69.0,0.0,19.0,12.0,45.0,16.0,20.0,0.0,20.0,482.0,425.0,69.0,251.0,231.0,0.0,144.0,20.0,21.0,21.0,0.0,0.0,21.0,0.0,21.0,0.0,273.0,273.0,273.0,56.0,189.0,84.0,0.0,87.0,0.0,166.0,166.0,166.0,29.0,114.0,52.0,0.0,8.0,0.0,58.0,99.0,99.0,99.0,20.0,75.0,24.0,0.0,0.0,0.0,88.18,85.19,88.17,100.0,100.0
9.0,331.0,265.0,265.0,196.0,135.0,0.0,60.0,264.0,55.0,12.0,53.0,38.0,130.0,130.0,33.0,22.0,34.0,179.0,5.0,12.0,0.0,24.0,135.0,135.0,26.0,85.0,50.0,0.0,53.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,103.0,103.0,41.0,93.0,10.0,0.0,12.0,4.0,133.0,133.0,133.0,47.0,61.0,72.0,0.0,109.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.06,66.33,100.0,100.0,100.0
9.0,143.0,143.0,143.0,26.0,117.0,0.0,11.0,31.0,91.0,21.0,0.0,27.0,26.0,26.0,0.0,29.0,0.0,0.0,16.0,10.0,0.0,10.0,117.0,117.0,11.0,31.0,75.0,11.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,9.0,0.0,9.0,9.0,60.0,60.0,60.0,0.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0
9.0,61.0,31.0,31.0,41.0,20.0,0.0,10.0,43.0,18.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,8.0,37.0,4.0,0.0,0.0,0.0,20.0,20.0,2.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,157.0,157.0,48.0,155.0,2.0,0.0,0.0,0.0,78.0,78.0,23.0,9.0,14.0,64.0,0.0,55.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82,26.83,100.0,100.0,29.49
9.0,115.0,45.0,45.0,82.0,33.0,0.0,16.0,57.0,46.0,12.0,27.0,12.0,12.0,12.0,0.0,12.0,16.0,57.0,13.0,12.0,0.0,12.0,33.0,33.0,0.0,0.0,33.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,46.0,10.0,32.0,14.0,0.0,15.0,23.0,100.0,100.0,86.0,5.0,17.0,83.0,0.0,80.0,11.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13,14.63,100.0,100.0,86.0
9.0,270.0,198.0,198.0,142.0,128.0,0.0,26.0,172.0,78.0,20.0,39.0,22.0,70.0,70.0,0.0,0.0,4.0,92.0,30.0,20.0,15.0,20.0,128.0,128.0,22.0,80.0,48.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,104.0,104.0,12.0,44.0,60.0,0.0,62.0,0.0,275.0,275.0,230.0,125.0,149.0,126.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33,49.3,100.0,100.0,83.64
9.0,355.0,271.0,191.0,121.0,234.0,0.0,53.0,173.0,180.0,2.0,17.0,24.0,37.0,34.0,0.0,6.0,19.0,82.0,37.0,2.0,0.0,2.0,234.0,157.0,34.0,91.0,143.0,0.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,95.0,14.0,55.0,40.0,0.0,19.0,0.0,134.0,134.0,88.0,11.0,42.0,92.0,0.0,92.0,0.0,63.0,24.0,24.0,24.0,2.0,5.0,19.0,0.0,0.0,0.0,53.8,28.1,67.09,100.0,65.67
9.0,2709.0,2227.0,2227.0,1940.0,727.0,42.0,426.0,1272.0,1427.0,10.0,115.0,92.0,1789.0,1789.0,0.0,0.0,352.0,941.0,989.0,10.0,0.0,60.0,396.0,396.0,74.0,331.0,396.0,0.0,87.0,32.0,42.0,42.0,0.0,0.0,42.0,0.0,28.0,0.0,673.0,673.0,673.0,130.0,481.0,192.0,0.0,76.0,3.0,4856.0,4856.0,3993.0,555.0,2051.0,2805.0,0.0,1087.0,0.0,3357.0,299.0,299.0,299.0,47.0,141.0,158.0,0.0,0.0,0.0,82.21,92.22,54.47,100.0,82.23
9.0,1341.0,1226.0,1076.0,922.0,384.0,35.0,114.0,443.0,878.0,20.0,45.0,58.0,807.0,751.0,0.0,29.0,64.0,289.0,614.0,19.0,0.0,19.0,384.0,290.0,50.0,154.0,229.0,1.0,45.0,39.0,35.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,527.0,527.0,527.0,92.0,333.0,194.0,0.0,31.0,0.0,900.0,900.0,900.0,62.0,194.0,706.0,0.0,8.0,0.0,466.0,77.0,77.0,77.0,15.0,29.0,48.0,0.0,77.0,0.0,80.24,81.45,75.52,100.0,100.0
9.0,90.0,76.0,76.0,66.0,24.0,0.0,8.0,27.0,63.0,0.0,44.0,0.0,52.0,52.0,0.0,12.0,8.0,27.0,39.0,0.0,20.0,0.0,24.0,24.0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,63.0,63.0,5.0,16.0,59.0,0.0,11.0,0.0,83.0,83.0,83.0,5.0,19.0,64.0,0.0,73.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.44,78.79,100.0,84.0,100.0
