,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
FL-501,1106,966,922,83.36%,800,291,15,162,522,584,0,101,0,800,660,660,82.50%,0,0,112,383,417,0,40,0,291,291,247,84.88%,50,139,152,0,46,0,15,15,15,100.00%,0,0,15,0,15,0,760,735,735,96.71%,179,662,98,0,72,43,1499,1499,1496,99.80%,130,476,1023,0,1047,0,293,107,107,101,94.39%,13,42,65,0,0,0
FL-502,1899,1760,1711,90.10%,1443,371,85,131,421,1447,31,198,38,1443,1304,1304,90.37%,0,2,88,322,1109,12,55,12,371,371,322,86.79%,43,99,253,19,83,26,85,85,85,100.00%,0,0,85,0,60,0,583,463,463,79.42%,184,531,52,0,27,0,1589,1589,1589,100.00%,86,336,1253,0,931,0,1433,40,40,40,100.00%,0,0,40,0,40,0
FL-503,616,616,441,71.59%,284,332,0,82,343,264,9,0,9,284,284,248,87.32%,0,27,35,150,125,9,0,9,332,332,193,58.13%,47,193,139,0,0,0,0,0,0,.,0,0,0,0,0,0,133,133,127,95.49%,30,97,36,0,31,0,254,254,254,100.00%,50,133,121,0,117,0,172,0,0,0,.,0,0,0,0,0,0
FL-504,569,477,477,83.83%,293,256,20,88,350,207,12,42,80,293,201,201,68.60%,0,3,47,194,87,12,0,52,256,256,256,100.00%,41,156,100,0,22,28,20,20,20,100.00%,0,0,20,0,20,0,197,197,185,93.91%,43,176,21,0,0,67,420,420,96,22.86%,41,144,276,0,315,65,93,109,109,37,33.94%,44,98,11,0,0,15
FL-505,112,88,88,78.57%,112,0,0,19,52,60,0,2,0,112,88,88,78.57%,42,0,19,52,60,0,2,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,80,80,80,100.00%,18,74,6,0,0,0,216,216,44,20.37%,173,177,39,0,172,0,209,0,0,0,.,0,0,0,0,0,0
FL-506,649,544,487,75.04%,455,194,0,69,247,384,18,52,24,455,407,407,89.45%,0,133,42,185,252,18,0,18,194,137,80,41.24%,27,62,132,0,52,6,0,0,0,.,0,0,0,0,0,0,106,106,106,100.00%,38,90,16,0,39,2,452,452,452,100.00%,12,36,416,0,288,0,452,231,231,181,78.35%,82,147,84,0,0,0
FL-507,1986,1762,1334,67.17%,1273,713,0,262,952,1034,0,142,63,1273,1049,970,76.20%,0,0,170,657,616,0,50,24,713,713,364,51.05%,92,295,418,0,92,39,0,0,0,.,0,0,0,0,0,0,833,833,833,100.00%,216,733,100,0,115,0,1599,1599,705,44.09%,54,138,1461,0,772,24,1395,402,402,402,100.00%,0,0,402,0,0,0
FL-508,323,221,221,68.42%,279,44,0,37,116,189,18,59,18,279,177,177,63.44%,108,20,37,116,145,18,15,18,44,44,44,100.00%,0,0,44,0,44,0,0,0,0,.,0,0,0,0,0,0,201,201,164,81.59%,27,94,107,0,39,0,1105,1105,1105,100.00%,72,279,826,0,1013,0,1105,0,0,0,.,0,0,0,0,0,0
FL-509,228,179,155,67.98%,127,101,0,52,161,55,12,2,24,127,84,84,66.14%,0,0,29,105,10,12,0,12,101,95,71,70.30%,23,56,45,0,2,12,0,0,0,.,0,0,0,0,0,0,165,165,165,100.00%,32,127,38,0,18,0,356,356,356,100.00%,35,120,236,0,124,0,235,55,55,55,100.00%,16,44,11,0,0,0
FL-510,1133,948,649,57.28%,741,392,0,68,260,839,34,66,64,741,556,344,46.42%,0,0,68,260,447,34,22,34,392,392,305,77.81%,0,0,392,0,44,30,0,0,0,.,0,0,0,0,0,0,301,301,301,100.00%,166,185,116,0,80,0,1086,1086,568,52.30%,172,281,805,0,567,0,857,0,0,0,.,0,0,0,0,0,0
FL-511,486,431,256,52.67%,286,200,0,6,107,379,0,40,12,286,231,176,61.54%,0,126,3,95,191,0,10,0,200,200,80,40.00%,3,12,188,0,30,12,0,0,0,.,0,0,0,0,0,0,142,142,136,95.77%,91,102,40,0,32,38,297,297,67,22.56%,1,3,294,0,203,2,67,14,14,0,0.00%,14,14,0,0,0,0
FL-512,173,106,106,61.27%,102,71,0,33,109,64,0,0,16,102,52,52,50.98%,0,4,15,45,57,0,0,16,71,54,54,76.06%,18,64,7,0,0,0,0,0,0,.,0,0,0,0,0,0,28,28,25,89.29%,6,21,7,0,0,0,0,0,0,.,0,0,0,0,0,0,0,49,49,49,100.00%,9,39,10,0,0,0
FL-513,584,572,515,88.18%,81,482,21,81,296,268,20,165,40,81,69,69,85.19%,0,19,12,45,16,20,0,20,482,482,425,88.17%,69,251,231,0,144,20,21,21,21,100.00%,0,0,21,0,21,0,273,273,273,100.00%,56,189,84,0,87,0,166,166,166,100.00%,29,114,52,0,8,0,58,99,99,99,100.00%,20,75,24,0,0,0
FL-514,331,265,265,80.06%,196,135,0,60,264,55,12,53,38,196,130,130,66.33%,33,22,34,179,5,12,0,24,135,135,135,100.00%,26,85,50,0,53,14,0,0,0,.,0,0,0,0,0,0,103,103,103,100.00%,41,93,10,0,12,4,133,133,133,100.00%,47,61,72,0,109,10,0,0,0,0,.,0,0,0,0,0,0
FL-515,143,143,143,100.00%,26,117,0,11,31,91,21,0,27,26,26,26,100.00%,0,29,0,0,16,10,0,10,117,117,117,100.00%,11,31,75,11,0,17,0,0,0,.,0,0,0,0,0,0,9,9,9,100.00%,0,0,9,0,9,9,60,60,60,100.00%,0,0,60,0,60,0,60,0,0,0,.,0,0,0,0,0,0
FL-517,61,31,31,50.82%,41,20,0,10,43,18,0,0,0,41,11,11,26.83%,0,0,8,37,4,0,0,0,20,20,20,100.00%,2,6,14,0,0,0,0,0,0,.,0,0,0,0,0,0,157,157,157,100.00%,48,155,2,0,0,0,78,78,23,29.49%,9,14,64,0,55,0,59,0,0,0,.,0,0,0,0,0,0
FL-518,115,45,45,39.13%,82,33,0,16,57,46,12,27,12,82,12,12,14.63%,0,12,16,57,13,12,0,12,33,33,33,100.00%,0,0,33,0,27,0,0,0,0,.,0,0,0,0,0,0,46,46,46,100.00%,10,32,14,0,15,23,100,100,86,86.00%,5,17,83,0,80,11,18,0,0,0,.,0,0,0,0,0,0
FL-519,270,198,198,73.33%,142,128,0,26,172,78,20,39,22,142,70,70,49.30%,0,0,4,92,30,20,15,20,128,128,128,100.00%,22,80,48,0,24,2,0,0,0,.,0,0,0,0,0,0,104,104,104,100.00%,12,44,60,0,62,0,275,275,230,83.64%,125,149,126,0,149,0,0,0,0,0,.,0,0,0,0,0,0
FL-520,355,271,191,53.80%,121,234,0,53,173,180,2,17,24,121,37,34,28.10%,0,6,19,82,37,2,0,2,234,234,157,67.09%,34,91,143,0,17,22,0,0,0,.,0,0,0,0,0,0,95,95,95,100.00%,14,55,40,0,19,0,134,134,88,65.67%,11,42,92,0,92,0,63,24,24,24,100.00%,2,5,19,0,0,0
FL-600,2709,2227,2227,82.21%,1940,727,42,426,1272,1427,10,115,92,1940,1789,1789,92.22%,0,0,352,941,989,10,0,60,727,396,396,54.47%,74,331,396,0,87,32,42,42,42,100.00%,0,0,42,0,28,0,673,673,673,100.00%,130,481,192,0,76,3,4856,4856,3993,82.23%,555,2051,2805,0,1087,0,3357,299,299,299,100.00%,47,141,158,0,0,0
FL-601,1341,1226,1076,80.24%,922,384,35,114,443,878,20,45,58,922,807,751,81.45%,0,29,64,289,614,19,0,19,384,384,290,75.52%,50,154,229,1,45,39,35,35,35,100.00%,0,0,35,0,0,0,527,527,527,100.00%,92,333,194,0,31,0,900,900,900,100.00%,62,194,706,0,8,0,466,77,77,77,100.00%,15,29,48,0,77,0
FL-602,90,76,76,84.44%,66,24,0,8,27,63,0,44,0,66,52,52,78.79%,0,12,8,27,39,0,20,0,24,24,24,100.00%,0,0,24,0,24,0,0,0,0,.,0,0,0,0,0,0,75,63,63,84.00%,5,16,59,0,11,0,83,83,83,100.00%,5,19,64,0,73,0,20,0,0,0,.,0,0,0,0,0,0
FL-603,248,158,133,53.63%,244,4,0,25,124,114,10,0,10,244,154,129,52.87%,0,0,24,120,114,10,0,10,4,4,4,100.00%,1,4,0,0,0,0,0,0,0,.,0,0,0,0,0,0,194,194,194,100.00%,72,180,14,0,17,10,449,449,92,20.49%,357,357,92,0,357,0,0,61,61,61,100.00%,6,32,29,0,0,0
FL-604,367,352,304,82.83%,228,139,0,18,78,256,33,15,33,228,213,180,78.95%,0,0,7,37,158,33,0,33,139,139,124,89.21%,11,41,98,0,15,0,0,0,0,.,0,0,0,0,0,0,3,3,3,100.00%,0,0,3,0,0,0,189,189,189,100.00%,11,44,145,0,2,0,54,18,18,18,100.00%,4,10,8,0,0,0
FL-605,540,385,376,69.63%,412,128,0,72,307,233,0,38,75,412,287,278,67.48%,0,6,65,277,135,0,18,50,128,98,98,76.56%,7,30,98,0,20,25,0,0,0,.,0,0,0,0,0,0,588,540,540,91.84%,136,385,203,0,50,139,1111,1111,1111,100.00%,115,433,678,0,593,60,503,109,109,109,100.00%,22,109,0,0,0,0
FL-606,438,351,41,9.36%,232,206,0,48,146,284,8,6,8,232,172,0,0.00%,0,10,28,92,140,0,0,0,206,179,41,19.90%,20,54,144,8,6,8,0,0,0,.,0,0,0,0,0,0,141,141,141,100.00%,53,111,30,0,9,0,30,30,0,0.00%,0,0,30,0,0,0,20,0,0,0,.,0,0,0,0,0,0
GA-500,2731,2731,2349,86.01%,1528,1203,0,137,771,1956,4,148,109,1528,1528,1407,92.08%,148,67,81,444,1084,0,25,62,1203,1203,942,78.30%,56,327,872,4,123,47,0,0,0,.,0,0,0,0,0,0,710,679,654,92.11%,170,570,140,0,150,65,1743,1743,1743,100.00%,148,448,1295,0,392,44,1687,222,222,127,57.21%,52,126,96,0,0,0
GA-501,2651,1590,1093,41.23%,1833,818,0,472,1554,1071,26,50,40,1833,1068,751,40.97%,0,7,303,963,844,26,25,29,818,522,342,41.81%,169,591,227,0,25,11,0,0,0,.,0,0,0,0,0,0,1725,1537,1537,89.10%,418,1499,226,0,149,8,2498,2469,2390,95.68%,455,879,1619,0,478,0,506,0,0,0,.,0,0,0,0,0,0
GA-502,247,247,199,80.57%,67,180,0,70,204,43,0,34,4,67,67,67,100.00%,0,0,19,53,14,0,0,0,180,180,132,73.33%,51,151,29,0,34,4,0,0,0,.,0,0,0,0,0,0,71,71,71,100.00%,26,66,5,0,4,0,376,346,136,36.17%,86,224,152,0,249,0,324,0,0,0,.,0,0,0,0,0,0
GA-503,190,168,117,61.58%,172,18,0,21,80,110,0,0,5,172,150,99,57.56%,0,0,15,62,110,0,0,5,18,18,18,100.00%,6,18,0,0,0,0,0,0,0,.,0,0,0,0,0,0,39,39,38,97.44%,16,32,7,0,1,0,210,210,90,42.86%,22,67,143,0,122,0,27,0,0,0,.,0,0,0,0,0,0
GA-504,203,193,148,72.91%,195,8,0,27,71,132,0,0,0,195,185,140,71.79%,0,20,24,63,132,0,0,0,8,8,8,100.00%,3,8,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,163,163,28,17.18%,136,138,25,0,135,0,135,0,0,0,.,0,0,0,0,0,0
GA-505,269,226,135,50.19%,235,34,0,31,146,123,0,7,0,235,192,101,42.98%,0,0,31,146,89,0,6,0,34,34,34,100.00%,0,0,34,0,1,0,0,0,0,.,0,0,0,0,0,0,94,94,94,100.00%,29,77,17,0,1,0,202,202,162,80.20%,19,30,172,0,56,0,202,28,28,28,100.00%,0,0,28,0,1,0
GA-506,305,210,183,60.00%,141,164,0,42,148,157,0,0,0,141,101,88,62.41%,0,15,24,81,60,0,0,0,164,109,95,57.93%,18,67,97,0,0,0,0,0,0,.,0,0,0,0,0,0,80,62,62,77.50%,20,65,15,0,9,0,453,453,117,25.83%,56,216,237,0,359,0,56,0,0,0,.,0,0,0,0,0,0
GA-507,590,526,234,39.66%,304,286,0,47,186,391,13,0,13,304,256,165,54.28%,50,0,31,141,155,8,0,8,286,270,69,24.13%,16,45,236,5,0,5,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,776,776,590,76.03%,237,529,247,0,163,0,139,0,0,0,.,0,0,0,0,0,0
GA-508,227,150,130,57.27%,79,148,0,46,186,41,0,0,4,79,30,30,37.97%,4,0,12,76,3,0,0,0,148,120,100,67.57%,34,110,38,0,0,4,0,0,0,.,0,0,0,0,0,0,236,236,230,97.46%,62,213,23,0,45,22,1797,1797,1576,87.70%,276,702,1095,0,1020,0,282,0,0,0,.,0,0,0,0,0,0
GU-500,145,94,89,61.38%,131,14,0,26,92,34,19,5,24,131,88,83,63.36%,0,7,22,87,26,18,5,18,14,6,6,42.86%,4,5,8,1,0,6,0,0,0,.,0,0,0,0,0,0,28,28,28,100.00%,5,22,6,0,8,0,191,191,85,44.50%,24,89,102,0,106,0,81,3,3,3,100.00%,0,0,3,0,0,0
HI-500,895,791,791,88.38%,487,408,0,196,587,308,0,15,0,487,402,402,82.55%,0,0,63,230,257,0,15,0,408,389,389,95.34%,133,357,51,0,0,0,0,0,0,.,0,0,0,0,0,0,295,295,295,100.00%,63,250,45,0,28,0,667,667,667,100.00%,52,189,478,0,266,0,381,0,0,0,.,0,0,0,0,0,0
HI-501,2489,2368,2316,93.05%,1568,879,42,305,1232,1257,0,347,67,1568,1501,1471,93.81%,0,4,143,608,960,0,223,49,879,825,803,91.35%,162,624,255,0,82,18,42,42,42,100.00%,0,0,42,0,42,0,895,895,895,100.00%,159,536,350,9,296,106,1887,1887,1887,100.00%,236,423,1454,10,920,45,948,0,0,0,.,0,0,0,0,0,0
IA-500,243,203,81,33.33%,162,81,0,39,125,118,0,0,0,162,122,0,0.00%,116,0,20,55,107,0,0,0,81,81,81,100.00%,19,70,11,0,0,0,0,0,0,.,0,0,0,0,0,0,27,1,1,3.70%,7,22,5,0,1,0,53,53,53,100.00%,3,7,46,0,30,1,53,0,0,0,.,0,0,0,0,0,0
IA-501,1692,1297,886,52.36%,1022,660,10,260,747,904,41,60,83,1022,823,551,53.91%,235,77,127,354,632,36,0,36,660,464,325,49.24%,133,393,262,5,50,47,10,10,10,100.00%,0,0,10,0,10,0,769,500,500,65.02%,140,513,256,0,76,12,510,489,188,36.86%,23,92,418,0,254,0,437,52,52,52,100.00%,13,37,15,0,0,0
IA-502,631,581,581,92.08%,436,181,14,65,159,468,4,19,36,436,386,386,88.53%,12,14,49,122,310,4,5,17,181,181,181,100.00%,16,37,144,0,0,19,14,14,14,100.00%,0,0,14,0,14,0,245,235,235,95.92%,48,169,76,0,36,25,497,497,497,100.00%,48,164,333,0,165,0,315,187,187,187,100.00%,31,134,53,0,12,0
ID-500,739,615,615,83.22%,604,135,0,15,194,541,4,80,4,604,545,545,90.23%,0,88,9,146,454,4,10,4,135,70,70,51.85%,6,48,87,0,70,0,0,0,0,.,0,0,0,0,0,0,135,135,104,77.04%,35,116,19,0,10,0,396,396,396,100.00%,32,105,291,0,205,0,40,0,0,0,.,0,0,0,0,0,0
ID-501,838,568,271,32.34%,590,248,0,169,533,299,6,8,6,590,386,241,40.85%,56,34,112,348,236,6,8,6,248,182,30,12.10%,57,185,63,0,0,0,0,0,0,.,0,0,0,0,0,0,258,251,210,81.40%,66,217,41,0,44,4,511,511,472,92.37%,76,228,283,0,248,0,160,0,0,0,.,0,0,0,0,0,0
IL-500,182,161,161,88.46%,108,74,0,15,48,134,0,38,4,108,87,87,80.56%,0,0,6,17,91,0,0,4,74,74,74,100.00%,9,31,43,0,38,0,0,0,0,.,0,0,0,0,0,0,36,36,27,75.00%,13,27,9,0,6,0,31,31,31,100.00%,0,0,30,1,0,1,23,73,73,73,100.00%,24,69,4,0,0,0
IL-501,438,324,324,73.97%,331,107,0,61,197,241,0,15,60,331,244,244,73.72%,50,28,38,133,198,0,0,12,107,80,80,74.77%,23,64,43,0,15,48,0,0,0,.,0,0,0,0,0,0,193,193,193,100.00%,46,150,43,0,0,35,484,474,474,97.93%,54,183,301,0,146,0,94,0,0,0,.,0,0,0,0,0,0
IL-502,165,104,104,63.03%,67,98,0,37,113,52,0,0,0,67,10,10,14.93%,60,73,15,45,22,0,0,0,98,94,94,95.92%,22,68,30,0,0,0,0,0,0,.,0,0,0,0,0,0,204,122,122,59.80%,49,175,29,0,18,0,347,347,327,94.24%,29,100,247,0,175,0,157,105,0,0,0.00%,32,97,8,0,0,0
IL-503,123,59,53,43.09%,57,66,0,27,74,45,4,2,10,57,32,30,52.63%,75,15,13,36,17,4,0,6,66,27,23,34.85%,14,38,28,0,2,4,0,0,0,.,0,0,0,0,0,0,11,11,11,100.00%,0,0,11,0,11,0,96,96,75,78.13%,12,27,69,0,21,0,21,0,0,0,.,0,0,0,0,0,0
IL-504,56,41,31,55.36%,46,10,0,15,19,37,0,0,1,46,31,31,67.39%,0,0,9,13,33,0,0,1,10,10,0,0.00%,6,6,4,0,0,0,0,0,0,.,0,0,0,0,0,0,51,51,51,100.00%,7,45,6,0,7,0,154,154,154,100.00%,17,58,96,0,0,0,62,0,0,0,.,0,0,0,0,0,0
IL-506,322,257,249,77.33%,186,130,6,31,147,167,8,14,8,186,142,142,76.34%,57,4,7,67,119,0,0,0,130,109,101,77.69%,24,80,42,8,8,8,6,6,6,100.00%,0,0,6,0,6,0,114,89,64,56.14%,28,56,58,0,0,7,320,320,320,100.00%,41,142,178,0,65,0,120,8,8,8,100.00%,1,5,3,0,3,0
IL-507,505,458,305,60.40%,474,27,4,35,171,334,0,14,3,474,427,298,62.87%,0,0,35,171,303,0,10,0,27,27,3,11.11%,0,0,27,0,0,3,4,4,4,100.00%,0,0,4,0,4,0,53,53,42,79.25%,3,11,42,0,11,0,352,329,280,79.55%,47,168,184,0,64,0,75,0,0,0,.,0,0,0,0,0,0
IL-508,187,176,172,91.98%,61,126,0,41,128,59,0,26,34,61,50,50,81.97%,0,0,14,44,17,0,6,0,126,126,122,96.83%,27,84,42,0,20,34,0,0,0,.,0,0,0,0,0,0,42,42,42,100.00%,23,32,10,0,0,0,269,269,269,100.00%,49,146,123,0,0,0,71,0,0,0,.,0,0,0,0,0,0
IL-510,5339,4950,4593,86.03%,3948,1351,40,700,2379,2951,9,266,475,3948,3778,3534,89.51%,0,13,470,1614,2327,7,75,154,1351,1132,1019,75.43%,230,765,584,2,191,321,40,40,40,100.00%,0,0,40,0,0,0,1144,1128,1128,98.60%,294,814,330,0,128,16,9337,9324,6459,69.18%,1535,3896,5441,0,2206,70,3767,729,729,557,76.41%,151,602,127,0,68,34
IL-511,470,224,224,47.66%,190,251,29,104,315,150,5,32,73,190,70,70,36.84%,469,1,33,126,59,5,6,22,251,125,125,49.80%,71,189,62,0,12,51,29,29,29,100.00%,0,0,29,0,14,0,395,381,381,96.46%,92,308,87,0,50,0,1507,1461,1461,96.95%,131,480,1027,0,781,0,283,10,10,10,100.00%,3,6,4,0,0,0
IL-512,496,427,247,49.80%,335,161,0,70,160,332,4,27,45,335,291,139,41.49%,0,30,31,73,258,4,0,12,161,136,108,67.08%,39,87,74,0,27,33,0,0,0,.,0,0,0,0,0,0,52,52,33,63.46%,13,23,29,0,19,0,128,128,128,100.00%,18,55,73,0,15,0,6,0,0,0,.,0,0,0,0,0,0
IL-513,315,283,279,88.57%,133,182,0,52,160,155,0,15,2,133,101,97,72.93%,67,0,10,28,105,0,0,1,182,182,182,100.00%,42,132,50,0,15,1,0,0,0,.,0,0,0,0,0,0,24,13,0,0.00%,6,18,6,0,13,0,153,153,98,64.05%,19,67,86,0,68,0,63,15,15,15,100.00%,1,2,13,0,0,0
IL-514,343,302,302,88.05%,204,136,3,38,168,173,2,5,78,204,163,163,79.90%,6,0,5,76,126,2,0,2,136,136,136,100.00%,33,92,44,0,2,76,3,3,3,100.00%,0,0,3,0,3,0,92,92,92,100.00%,15,55,37,0,1,0,352,352,352,100.00%,45,163,189,0,34,0,223,0,0,0,.,0,0,0,0,0,0
IL-515,106,58,55,51.89%,79,27,0,23,68,38,0,0,0,79,58,47,59.49%,0,0,14,46,33,0,0,0,27,0,8,29.63%,9,22,5,0,0,0,0,0,0,.,0,0,0,0,0,0,100,96,100,100.00%,22,71,29,0,0,0,41,41,41,100.00%,7,21,20,0,0,0,0,0,0,0,.,0,0,0,0,0,0
IL-516,155,114,108,69.68%,108,47,0,30,74,78,3,0,3,108,78,72,66.67%,25,0,15,41,64,3,0,3,47,36,36,76.60%,15,33,14,0,0,0,0,0,0,.,0,0,0,0,0,0,19,19,19,100.00%,6,16,3,0,0,0,83,83,83,100.00%,8,21,62,0,10,0,28,65,65,41,63.08%,22,55,10,0,24,0
IL-517,417,389,389,93.29%,399,18,0,33,169,248,0,10,0,399,371,371,92.98%,0,29,31,161,238,0,10,0,18,18,18,100.00%,2,8,10,0,0,0,0,0,0,.,0,0,0,0,0,0,9,9,9,100.00%,1,5,4,0,4,0,184,184,184,100.00%,17,74,110,0,6,0,85,0,0,0,.,0,0,0,0,0,0
IL-518,176,133,117,66.48%,120,56,0,28,91,75,10,6,30,120,77,61,50.83%,28,6,9,59,61,0,0,0,56,56,56,100.00%,19,32,14,10,6,30,0,0,0,.,0,0,0,0,0,0,13,0,0,0.00%,1,13,0,0,0,0,50,50,46,92.00%,6,12,38,0,0,12,4,0,0,0,.,0,0,0,0,0,0
IL-519,136,84,72,52.94%,84,52,0,12,57,75,4,0,16,84,48,48,57.14%,0,36,3,28,52,4,0,4,52,36,24,46.15%,9,29,23,0,0,12,0,0,0,.,0,0,0,0,0,0,6,3,0,0.00%,2,4,2,0,0,0,101,101,101,100.00%,26,98,3,0,0,0,43,0,0,0,.,0,0,0,0,0,0
IL-520,302,193,163,53.97%,219,83,0,49,152,150,0,4,0,219,125,95,43.38%,0,3,33,105,114,0,0,0,83,68,68,81.93%,16,47,36,0,4,0,0,0,0,.,0,0,0,0,0,0,7,7,7,100.00%,2,7,0,0,0,0,125,125,125,100.00%,31,86,39,0,3,0,6,0,0,0,.,0,0,0,0,0,0
IN-502,4563,3300,1895,41.53%,3392,1146,25,621,2026,2494,43,199,85,3392,2486,1461,43.07%,176,101,433,1419,1930,43,38,50,1146,789,409,35.69%,188,607,539,0,136,35,25,25,25,100.00%,0,0,25,0,25,0,678,606,606,89.38%,153,492,186,0,76,0,2927,2927,2118,72.36%,357,981,1946,0,870,0,805,41,41,33,80.49%,2,8,33,0,0,0
IN-503,1258,1073,979,77.82%,814,393,51,113,418,829,11,184,19,814,720,626,76.90%,278,289,85,323,480,11,24,11,393,302,302,76.84%,28,95,298,0,160,8,51,51,51,100.00%,0,0,51,0,0,0,544,377,338,62.13%,89,367,177,0,174,16,1304,1260,840,64.42%,131,415,889,0,490,0,587,425,425,56,13.18%,50,173,252,0,132,0
KS-502,623,435,348,55.86%,320,303,0,65,261,357,5,37,38,320,258,208,65.00%,123,0,24,95,220,5,28,7,303,177,140,46.20%,41,166,137,0,9,31,0,0,0,.,0,0,0,0,0,0,229,229,121,52.84%,45,157,72,0,80,0,570,570,570,100.00%,26,108,462,0,216,0,172,0,0,0,.,0,0,0,0,0,0
KS-503,375,356,36,9.60%,303,72,0,32,137,238,0,20,0,303,284,0,0.00%,0,50,2,73,230,0,20,0,72,72,36,50.00%,30,64,8,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,344,344,344,100.00%,80,110,234,0,0,0,14,0,0,0,.,0,0,0,0,0,0
KS-505,137,88,84,61.31%,107,30,0,36,119,18,0,0,1,107,58,58,54.21%,36,8,28,95,12,0,0,0,30,30,26,86.67%,8,24,6,0,0,1,0,0,0,.,0,0,0,0,0,0,87,71,71,81.61%,21,73,14,0,3,0,21,21,21,100.00%,21,21,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
KS-507,1463,1082,408,27.89%,975,488,0,212,758,705,0,15,39,975,628,297,30.46%,36,18,117,470,505,0,15,0,488,454,111,22.75%,95,288,200,0,0,39,0,0,0,.,0,0,0,0,0,0,356,352,268,75.28%,78,256,100,0,16,0,340,340,96,28.24%,39,114,226,0,237,0,45,0,0,0,.,0,0,0,0,0,0
KY-500,1865,1403,771,41.34%,1556,309,0,201,713,1120,32,81,64,1556,1145,533,34.25%,155,74,163,582,942,32,4,32,309,258,238,77.02%,38,131,178,0,77,32,0,0,0,.,0,0,0,0,0,0,749,493,493,65.82%,156,521,228,0,67,33,1101,952,750,68.12%,204,549,552,0,202,0,811,10,10,10,100.00%,0,0,10,0,0,0
KY-501,938,843,778,82.94%,661,277,0,92,288,644,6,164,52,661,566,533,80.64%,51,76,64,214,441,6,10,12,277,277,245,88.45%,28,74,203,0,154,40,0,0,0,.,0,0,0,0,0,0,381,367,367,96.33%,84,303,78,0,79,86,1668,1668,1668,100.00%,183,691,977,0,408,50,253,235,235,225,95.74%,38,137,98,0,0,0
KY-502,519,477,343,66.09%,448,71,0,31,101,414,4,82,9,448,406,272,60.71%,14,150,31,101,343,4,16,4,71,71,71,100.00%,0,0,71,0,66,5,0,0,0,.,0,0,0,0,0,0,132,124,132,100.00%,17,68,64,0,31,13,418,418,418,100.00%,36,128,290,0,315,0,418,0,0,0,.,0,0,0,0,0,0
LA-500,249,175,175,70.28%,179,63,7,34,113,136,0,21,0,179,123,123,68.72%,0,8,22,76,103,0,8,0,63,45,45,71.43%,12,37,26,0,6,0,7,7,7,100.00%,0,0,7,0,7,0,152,134,134,88.16%,30,114,38,0,0,0,320,292,157,49.06%,28,81,239,0,135,0,86,0,0,0,.,0,0,0,0,0,0
LA-502,330,311,311,94.24%,253,52,25,36,140,184,6,95,10,253,234,234,92.49%,0,4,36,140,107,6,24,10,52,52,52,100.00%,0,0,52,0,46,0,25,25,25,100.00%,0,0,25,0,25,0,152,152,152,100.00%,32,114,38,0,62,0,565,565,329,58.23%,63,193,372,0,236,0,304,0,0,0,.,0,0,0,0,0,0
LA-503,1001,964,952,95.10%,704,272,25,71,196,803,2,128,117,704,667,655,93.04%,0,11,47,118,584,2,0,65,272,272,272,100.00%,24,78,194,0,118,52,25,25,25,100.00%,0,0,25,0,10,0,796,714,736,92.46%,170,529,267,0,147,70,3289,3277,3257,99.03%,269,777,2512,0,698,27,2110,0,0,0,.,0,0,0,0,0,0
LA-505,153,90,84,54.90%,90,63,0,19,55,92,6,0,21,90,56,56,62.22%,0,0,7,23,61,6,0,6,63,34,28,44.44%,12,32,31,0,0,15,0,0,0,.,0,0,0,0,0,0,154,83,83,53.90%,30,122,32,0,24,23,60,60,60,100.00%,4,9,51,0,1,0,59,0,0,0,.,0,0,0,0,0,0
LA-506,97,87,71,73.20%,47,50,0,5,16,81,0,34,0,47,37,25,53.19%,0,0,5,16,31,0,0,0,50,50,46,92.00%,0,0,50,0,34,0,0,0,0,.,0,0,0,0,0,0,54,46,46,85.19%,9,22,32,0,0,0,302,302,270,89.40%,33,96,206,0,52,0,51,0,0,0,.,0,0,0,0,0,0
LA-507,118,118,64,54.24%,58,60,0,3,28,90,0,16,0,58,58,34,58.62%,0,34,2,8,50,0,16,0,60,60,30,50.00%,1,20,40,0,0,0,0,0,0,.,0,0,0,0,0,0,46,46,46,100.00%,6,33,13,0,6,0,220,220,52,23.64%,18,51,169,0,168,19,0,0,0,0,.,0,0,0,0,0,0
LA-509,632,515,382,60.44%,417,170,45,55,185,429,18,78,46,417,300,190,45.56%,0,11,55,185,214,18,4,18,170,170,147,86.47%,0,0,170,0,29,28,45,45,45,100.00%,0,0,45,0,45,0,445,445,445,100.00%,88,277,168,0,64,26,671,630,630,93.89%,119,331,340,0,0,0,118,0,0,0,.,0,0,0,0,0,0
